"Deviator stress(Axial strain), created by Plot Digitizer, 2.6.6"
"Date: 27/01/15, 1:50:56 PM"


61
Axial strain,Deviator stress
0.109890,0.260512,
0.188383,0.338208,
0.235479,0.413620,
0.282575,0.479890,
0.361068,0.541591,
0.392465,0.619287,
0.439560,0.676417,
0.518053,0.742687,
0.612245,0.808958,
0.722135,0.870658,
0.863422,0.941499,
1.02041,1.00091,
1.19309,1.07404,
1.39717,1.11060,
1.64835,1.16088,
1.94662,1.20430,
2.26060,1.22715,
2.65306,1.25914,
3.06122,1.28656,
3.42229,1.30713,
3.86185,1.33455,
4.34851,1.35740,
4.69388,1.38026,
5.07064,1.39625,
5.46311,1.41453,
5.98116,1.44653,
6.35793,1.47166,
6.82889,1.49452,
7.17425,1.51965,
7.50392,1.52651,
7.83359,1.55165,
8.17896,1.57221,
8.54003,1.58821,
8.94819,1.61335,
9.38776,1.64305,
9.76452,1.66133,
10.1727,1.68190,
10.5651,1.70475,
10.9890,1.72989,
11.3972,1.75503,
11.8524,1.78245,
12.2449,1.80530,
12.6688,1.83958,
13.1240,1.87157,
13.5950,1.90128,
14.0502,1.93556,
14.5212,1.97441,
14.9294,2.00183,
15.3689,2.02925,
15.9341,2.07495,
16.3265,2.10009,
16.7190,2.12980,
17.0644,2.15265,
17.4411,2.18236,
17.7237,2.20521,
18.1162,2.23035,
18.4615,2.25548,
18.7912,2.28062,
19.1680,2.30576,
19.4819,2.33318,
19.8587,2.36517,
