"Deviator stress(Axial Strain), created by Plot Digitizer, 2.6.6"
"Date: 27/01/15, 2:27:35 PM"


26
Axial Strain,Deviator stress
0.000525191,0.0517241,
0.719205,0.900709,
1.55408,1.53846,
2.32489,1.69347,
3.15342,1.70622,
3.95158,1.64139,
4.74978,1.58088,
5.51857,1.53761,
6.40575,1.49862,
7.20404,1.44673,
8.03156,1.36034,
8.85944,1.30844,
9.74644,1.25221,
10.1311,1.25644,
10.5746,1.22617,
11.3736,1.24324,
12.2018,1.22582,
13.0592,1.16960,
13.8877,1.17373,
14.7155,1.12183,
15.5437,1.10010,
16.3426,1.10855,
17.1413,1.09976,
17.9990,1.06940,
18.8272,1.04767,
19.5964,1.04319,
