"Deviator stress(Axial Strain), created by Plot Digitizer, 2.6.6"
"Date: 27/01/15, 2:33:05 PM"


25
Axial Strain,Deviator stress
-7.10543e-15,0.0346620,
0.768095,1.05286,
1.56573,1.36482,
2.36337,1.46447,
3.19055,1.53380,
4.01773,1.51646,
4.87445,1.53380,
5.67208,1.60312,
6.52880,1.59879,
7.32644,1.64645,
8.12408,1.66811,
8.92171,1.70711,
9.77843,1.72877,
10.5761,1.72444,
11.4032,1.75910,
12.2895,1.79376,
13.0576,1.83709,
13.8848,1.81976,
14.7120,1.87175,
15.4801,1.87175,
16.2482,1.93674,
17.1344,1.92374,
17.9616,2.01040,
18.7592,2.00173,
19.5864,2.07539,
